-1782209.2879855796	  inf
-1353696.3196357933	2.40439e-01
-1351442.8211856042	1.66470e-03
-1352319.8202105737	-6.48935e-04
-1351092.1070463129	9.07857e-04
-1352585.9118088030	-1.10563e-03
-1353454.5933936944	-6.42238e-04
-1354414.2620839269	-7.09051e-04
-1355028.6052264124	-4.53586e-04
-1355388.6503888851	-2.65710e-04
-1355434.8990798325	-3.41221e-05
-1355283.9487936303	1.11367e-04
-1354930.0828548311	2.61101e-04
-1354354.0190554881	4.25161e-04
-1353403.4317262725	7.01875e-04
-1352288.0646162862	8.24120e-04
-1350945.8574084521	9.92545e-04
-1349484.7263242982	1.08156e-03
-1348060.6637034747	1.05526e-03
-1346514.2301680529	1.14715e-03
-1344817.7074852972	1.25994e-03
-1343173.0100331914	1.22299e-03
-1341458.4189974493	1.27652e-03
-1339730.4114226885	1.28816e-03
-1337924.2280518464	1.34817e-03
-1336381.7685784823	1.15288e-03
-1334941.9365332178	1.07741e-03
-1333583.4276873153	1.01765e-03
-1332281.9974897860	9.75890e-04
-1330939.5370716683	1.00764e-03
-1329672.7486492037	9.51800e-04
-1328476.5566680443	8.99614e-04
-1327302.6619075672	8.83640e-04
-1326307.0262359104	7.50120e-04
-1325338.5717746820	7.30189e-04
-1324509.8221080515	6.25312e-04
-1323738.8277459037	5.82098e-04
-1323077.6994519178	4.99440e-04
-1322470.1574182094	4.59188e-04
-1321961.1013820395	3.84928e-04
-1321490.2108424280	3.56206e-04
-1321090.9897845767	3.02099e-04
-1320710.4408070180	2.88057e-04
-1320393.0700946639	2.40303e-04
-1320121.4713168386	2.05695e-04
-1319846.6161995451	2.08204e-04
-1319552.4735521467	2.22861e-04
-1319307.1570960805	1.85909e-04
-1319129.4893048883	1.34667e-04
-1318950.7396038736	1.35506e-04
-1318793.8771203796	1.18930e-04
-1318613.4305920852	1.36827e-04
-1318435.7303758466	1.34763e-04
-1318251.2326317574	1.39937e-04
-1318071.7563639872	1.36147e-04
-1317951.2950793616	9.13921e-05
